"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.027321,2.8475,2.8644e-20,0.50867,1,13.593,24.094,-23.917,0
0.029266,2.8296,2.6835e-20,0.49558,1,13.666,24.101,-23.845,0
0.031213,2.8118,2.5429e-20,0.48241,1,13.738,24.109,-23.772,0
0.033162,2.7941,2.4426e-20,0.46918,1,13.811,24.116,-23.7,0
0.035113,2.7765,2.3827e-20,0.45588,1,13.884,24.123,-23.628,0
0.037065,2.7589,2.363e-20,0.44252,1,13.956,24.131,-23.556,0
0.039019,2.7415,2.3835e-20,0.42909,1,14.029,24.138,-23.483,0
0.040873,2.7244,2.335e-20,0.41522,1,14.102,24.145,-23.411,0
0.042253,2.7087,1.7758e-20,0.39955,1,14.175,24.153,-23.339,0
0.043612,2.6932,1.1696e-20,0.3838,1,14.247,24.16,-23.266,0
0.044842,2.6762,5.2209e-21,0.36793,1,14.32,24.167,-23.194,0
0.04489,2.6423,-1.0709e-21,0.35166,1,14.393,24.175,-23.122,0
0.044843,2.6085,-7.697e-21,0.33526,1,14.465,24.182,-23.049,0
0.044702,2.5748,-1.4657e-20,0.31873,1,14.538,24.189,-22.977,0
0.044466,2.5412,-2.1951e-20,0.30208,1,14.611,24.197,-22.905,0
0.045425,2.5091,-2.2143e-20,0.28303,1,14.683,24.204,-22.832,0
0.046814,2.4777,-1.9763e-20,0.26292,1,14.756,24.211,-22.76,0
0.048132,2.4465,-1.7715e-20,0.24262,1,14.829,24.219,-22.688,0
0.04938,2.4155,-1.5999e-20,0.22213,1,14.901,24.226,-22.615,0
0.050557,2.3847,-1.4614e-20,0.20147,1,14.974,24.233,-22.543,0
0.051664,2.3541,-1.3561e-20,0.18061,1,15.047,24.241,-22.471,0
0.052701,2.3236,-1.2838e-20,0.15958,1,15.12,24.248,-22.398,0
0.053195,2.2953,-1.2417e-20,0.1375,1,15.192,24.255,-22.326,0
0.051389,2.2756,-1.1805e-20,0.11126,1,15.265,24.263,-22.254,0
0.049303,2.2563,-1.0864e-20,0.084563,1,15.338,24.27,-22.181,0
0.046936,2.2375,-9.5942e-21,0.057397,1,15.41,24.277,-22.109,0
0.04429,2.219,-7.9966e-21,0.029768,1,15.483,24.285,-22.037,0
0.041363,2.201,-6.0712e-21,0.0016763,1,15.556,24.292,-21.965,0
0.038156,2.1835,-3.8182e-21,-0.026877,1,15.628,24.299,-21.892,0
0.03467,2.1663,-1.2375e-21,-0.055893,1,15.701,24.307,-21.82,0
0.031947,2.1028,-4.5195e-21,-0.117,1,15.774,24.314,-21.748,0
0.029271,2,-1.2464e-20,-0.20329,1,15.846,24.321,-21.675,0
0.025775,1.8902,-2.0725e-20,-0.29237,1,15.919,24.329,-21.603,0
0.02146,1.7735,-2.9303e-20,-0.38423,1,15.992,24.336,-21.531,0
0.016326,1.6499,-3.8198e-20,-0.47886,1,16.064,24.343,-21.458,0
0.010374,1.5193,-4.741e-20,-0.57628,1,16.137,24.351,-21.386,0
0.0062129,1.3841,-5.5257e-20,-0.6687,1,16.21,24.358,-21.314,0
0.0044647,1.254,-6.1044e-20,-0.75313,1,16.283,24.365,-21.241,0
-0.0078693,1.1732,-7.6031e-20,-0.82716,1,16.355,24.373,-21.169,0
-0.0084005,1.1477,-8.4866e-20,-0.8759,1,16.428,24.38,-21.097,0
-0.0054481,1.1359,-9.1776e-20,-0.91804,1,16.501,24.387,-21.024,0
-0.0024958,1.124,-9.8686e-20,-0.96018,1,16.573,24.395,-20.952,0
0.00045658,1.1122,-1.056e-19,-1.0023,1,16.646,24.402,-20.88,0
0.018151,1.2207,-9.0963e-20,-1.0317,1,16.719,24.409,-20.807,0
0.081073,1.634,-1.5013e-20,-1.0088,1,16.791,24.417,-20.735,0
0.12,1.7602,3.8897e-20,-0.99602,1,16.864,24.424,-20.663,0
0.1301,1.5605,1.412e-19,-1.0279,1,16.937,24.431,-20.59,0
0.17513,1.7801,1.4197e-19,-0.977,1,17.009,24.439,-20.518,0
0.22676,2.1163,1.2561e-19,-0.89887,1,17.082,24.446,-20.446,0
0.25009,2.2187,1.0438e-19,-0.80603,1,17.155,24.453,-20.374,0
0.26183,2.0809,5.8199e-20,-0.72048,1,17.228,24.461,-20.301,0
0.28776,2.0111,1.6158e-20,-0.63932,1,17.3,24.468,-20.229,0
0.32796,2.0096,-2.172e-20,-0.56256,1,17.373,24.475,-20.157,0
0.32653,1.994,-2.1198e-20,-0.51063,1,17.446,24.483,-20.084,0
0.31305,1.9684,-1.0939e-20,-0.47593,1,17.518,24.49,-20.012,0
0.30883,1.9724,3.8201e-23,-0.44695,1,17.591,24.497,-19.94,0
0.31392,2.006,1.1738e-20,-0.4237,1,17.664,24.505,-19.867,0
0.32513,2.0539,2.0962e-20,-0.40763,1,17.736,24.512,-19.795,0
0.321,2.0413,1.7868e-20,-0.3945,1,17.809,24.519,-19.723,0
0.32215,2.0534,1.4917e-20,-0.38241,1,17.882,24.527,-19.65,0
0.32871,2.0907,1.217e-20,-0.37136,1,17.954,24.534,-19.578,0
0.3407,2.1533,9.6285e-21,-0.36136,1,18.027,24.541,-19.506,0
0.34671,2.1839,9.0667e-21,-0.35313,1,18.1,24.549,-19.433,0
0.34322,2.1604,1.3755e-20,-0.34434,1,18.172,24.556,-19.361,0
0.34425,2.1601,1.5678e-20,-0.33621,1,18.245,24.563,-19.289,0
0.34982,2.1831,1.4823e-20,-0.32875,1,18.318,24.571,-19.216,0
0.35881,2.2241,1.1252e-20,-0.32224,1,18.391,24.578,-19.144,0
0.36599,2.2548,5.2745e-21,-0.31734,1,18.463,24.585,-19.072,0
0.36952,2.2601,7.0632e-22,-0.31146,1,18.536,24.593,-18.999,0
0.37291,2.2639,9.7593e-22,-0.30536,1,18.609,24.6,-18.927,0
0.38039,2.2913,4.3165e-21,-0.30023,1,18.681,24.608,-18.855,0
0.38997,2.3321,1.1195e-20,-0.29622,1,18.754,24.615,-18.782,0
0.39899,2.3706,1.8892e-20,-0.29323,1,18.827,24.622,-18.71,0
0.41057,2.4213,2.5109e-20,-0.29088,1,18.899,24.63,-18.638,0
0.41462,2.4222,2.1805e-20,-0.28747,1,18.972,24.637,-18.566,0
0.41834,2.4195,1.3434e-20,-0.28425,1,19.045,24.644,-18.493,0
0.42243,2.4235,-4.568e-22,-0.28138,1,19.117,24.652,-18.421,0
0.42718,2.4338,-1.5982e-20,-0.27877,1,19.19,24.659,-18.349,0
0.4347,2.4588,-2.9844e-20,-0.2767,1,19.263,24.666,-18.276,0
0.44502,2.4986,-4.2037e-20,-0.27518,1,19.336,24.674,-18.204,0
0.45814,2.5532,-5.2556e-20,-0.2742,1,19.408,24.681,-18.132,0
0.46462,2.5676,-5.084e-20,-0.27136,1,19.481,24.688,-18.059,0
0.46633,2.5541,-3.9859e-20,-0.2674,1,19.554,24.696,-17.987,0
0.47105,2.5571,-2.9636e-20,-0.26432,1,19.626,24.703,-17.915,0
0.47879,2.5766,-2.0172e-20,-0.26213,1,19.699,24.71,-17.842,0
0.48955,2.6127,-1.1469e-20,-0.26081,1,19.772,24.718,-17.77,0
0.50111,2.6558,-4.4534e-21,-0.25978,1,19.844,24.725,-17.698,0
0.51242,2.7012,-1.1524e-21,-0.25868,1,19.917,24.732,-17.625,0
0.52208,2.7364,-8.5575e-22,-0.25755,1,19.99,24.74,-17.553,0
0.52442,2.7263,-1.7802e-21,-0.25558,1,20.062,24.747,-17.481,0
0.52866,2.7256,-4.2121e-21,-0.25419,1,20.135,24.754,-17.408,0
0.53403,2.7305,-7.6769e-21,-0.25316,1,20.208,24.762,-17.336,0
0.53779,2.7281,-9.1289e-21,-0.25164,1,20.28,24.769,-17.264,0
0.54384,2.738,-1.0053e-20,-0.25076,1,20.353,24.776,-17.191,0
0.55221,2.7604,-1.0449e-20,-0.25051,1,20.426,24.784,-17.119,0
0.56288,2.7952,-1.0313e-20,-0.25089,1,20.499,24.791,-17.047,0
0.57588,2.8425,-9.6437e-21,-0.25191,1,20.571,24.798,-16.975,0
0.58418,2.8697,-7.2799e-21,-0.25061,1,20.644,24.806,-16.902,0
0.58629,2.8608,-3.3749e-21,-0.2471,1,20.717,24.813,-16.83,0
0.59011,2.8595,7.0487e-22,-0.24405,1,20.789,24.82,-16.758,0
0.59567,2.8656,4.9599e-21,-0.24145,1,20.862,24.828,-16.685,0
0.60296,2.8793,9.3909e-21,-0.23931,1,20.935,24.835,-16.613,0
0.61055,2.895,1.3514e-20,-0.23712,1,21.007,24.842,-16.541,0
0.61781,2.911,1.5032e-20,-0.23477,1,21.08,24.85,-16.468,0
0.62707,2.9367,1.3808e-20,-0.23311,1,21.153,24.857,-16.396,0
0.63835,2.972,9.8327e-21,-0.23215,1,21.225,24.864,-16.324,0
0.65164,3.017,3.0959e-21,-0.23188,1,21.298,24.872,-16.251,0
0.65596,3.0207,1.0673e-21,-0.23093,1,21.371,24.879,-16.179,0
0.65683,3.011,-4.0666e-21,-0.22966,1,21.444,24.886,-16.107,0
0.6586,3.0051,-8.746e-21,-0.22862,1,21.516,24.894,-16.034,0
0.66151,3.004,-1.246e-20,-0.22785,1,21.589,24.901,-15.962,0
0.66559,3.0076,-1.5205e-20,-0.22736,1,21.662,24.908,-15.89,0
0.67082,3.016,-1.6979e-20,-0.22713,1,21.734,24.916,-15.817,0
0.67691,3.028,-1.6954e-20,-0.22707,1,21.807,24.923,-15.745,0
0.68227,3.0369,-1.2076e-20,-0.22659,1,21.88,24.93,-15.673,0
0.68899,3.0517,-9.116e-21,-0.22644,1,21.952,24.938,-15.6,0
0.69705,3.0725,-8.0821e-21,-0.22663,1,22.025,24.945,-15.528,0
0.70648,3.0993,-8.9801e-21,-0.22714,1,22.098,24.952,-15.456,0
0.71654,3.1288,-1.1615e-20,-0.22781,1,22.17,24.96,-15.384,0
0.71928,3.126,-1.0729e-20,-0.22677,1,22.243,24.967,-15.311,0
0.72141,3.122,-6.4909e-21,-0.22558,1,22.316,24.974,-15.239,0
0.72435,3.1212,-2.6434e-21,-0.22456,1,22.389,24.982,-15.167,0
0.72809,3.1235,8.127e-22,-0.22371,1,22.461,24.989,-15.094,0
0.73265,3.129,3.8762e-21,-0.22302,1,22.534,24.996,-15.022,0
0.73802,3.1377,6.546e-21,-0.2225,1,22.607,25.004,-14.95,0
0.7437,3.1479,7.293e-21,-0.22178,1,22.679,25.011,-14.877,0
0.74942,3.1591,5.4882e-21,-0.22062,1,22.752,25.018,-14.805,0
0.7561,3.1739,3.9329e-21,-0.21964,1,22.825,25.026,-14.733,0
0.76374,3.1925,2.628e-21,-0.21884,1,22.897,25.033,-14.66,0
0.77234,3.2149,1.5744e-21,-0.21823,1,22.97,25.04,-14.588,0
0.7819,3.2411,7.7276e-22,-0.2178,1,23.043,25.048,-14.516,0
0.7867,3.2483,-2.6343e-21,-0.21716,1,23.115,25.055,-14.443,0
0.78823,3.2433,-7.9182e-21,-0.21619,1,23.188,25.062,-14.371,0
0.7902,3.2399,-1.2206e-20,-0.21541,1,23.261,25.07,-14.299,0
0.7926,3.2382,-1.5494e-20,-0.2148,1,23.333,25.077,-14.226,0
0.79544,3.2382,-1.778e-20,-0.21438,1,23.406,25.084,-14.154,0
0.79871,3.2398,-1.906e-20,-0.21415,1,23.479,25.092,-14.082,0
0.80231,3.2429,-1.8411e-20,-0.21408,1,23.552,25.099,-14.009,0
0.80535,3.2452,-8.0428e-21,-0.21406,1,23.624,25.106,-13.937,0
0.8089,3.2495,2.1813e-21,-0.21419,1,23.697,25.114,-13.865,0
