# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
118            	-1.44592870e-03	1.06802441e+00	-1.43082751e-01	-7.29873042e-02	-7.00954468e-02
119            	-2.08589689e-03	1.06877133e+00	-1.44565352e-01	-7.43685727e-02	-7.01967789e-02
120            	-2.60206608e-03	1.07239552e+00	-1.36778508e-01	-7.09913201e-02	-6.57871880e-02
121            	-2.96724380e-03	1.07638514e+00	-1.19487176e-01	-6.27108320e-02	-5.67763444e-02
122            	-3.16293756e-03	1.08060392e+00	-9.37896967e-02	-5.00577859e-02	-4.37319108e-02
123            	-3.17352019e-03	1.08284460e+00	-6.05923151e-02	-3.34696777e-02	-2.71226374e-02
124            	-2.99104441e-03	1.08395918e+00	-2.23870272e-02	-1.41845580e-02	-8.20246921e-03
125            	-2.61845444e-03	1.08402264e+00	1.74423261e-02	6.10270859e-03	1.13396175e-02
126            	-2.07369178e-03	1.08240557e+00	5.61530180e-02	2.60028172e-02	3.01502008e-02
127            	-1.39050333e-03	1.07843658e+00	9.08651587e-02	4.40420760e-02	4.68230827e-02
128            	-6.17209387e-04	1.07286393e+00	1.19512779e-01	5.91391802e-02	6.03735990e-02
129            	1.88823981e-04	1.06876134e+00	1.40655972e-01	7.05168100e-02	7.01391620e-02
130            	9.67949404e-04	1.06723905e+00	1.52634213e-01	7.72850561e-02	7.53491573e-02
131            	1.66425856e-03	1.06805586e+00	1.54422728e-01	7.88756223e-02	7.55471052e-02
132            	2.23593610e-03	1.07202171e+00	1.46532536e-01	7.55022040e-02	7.10303318e-02
133            	2.65231432e-03	1.07643016e+00	1.29024716e-01	6.71646722e-02	6.18600435e-02
134            	2.89552960e-03	1.08095672e+00	1.02796119e-01	5.42935891e-02	4.85025299e-02
135            	2.94967954e-03	1.08421307e+00	6.87944521e-02	3.73469056e-02	3.14475465e-02
136            	2.80591519e-03	1.08613021e+00	2.90982897e-02	1.73550601e-02	1.17432297e-02
137            	2.46563779e-03	1.08667661e+00	-1.24764432e-02	-3.77258382e-03	-8.70385939e-03
138            	1.94659550e-03	1.08469571e+00	-5.27484586e-02	-2.44276338e-02	-2.83208248e-02
139            	1.28479456e-03	1.08002759e+00	-8.85464586e-02	-4.29884347e-02	-4.55580239e-02
140            	5.33462370e-04	1.07399603e+00	-1.17845123e-01	-5.83890990e-02	-5.94560237e-02
141            	-2.48253033e-04	1.06991704e+00	-1.39432658e-01	-6.99645818e-02	-6.94680757e-02
142            	-1.00122844e-03	1.06869400e+00	-1.51811968e-01	-7.69072123e-02	-7.49047555e-02
143            	-1.67142949e-03	1.06988656e+00	-1.54140022e-01	-7.87414407e-02	-7.53985817e-02
144            	-2.21871263e-03	1.07384409e+00	-1.46871794e-01	-7.56546098e-02	-7.12171845e-02
145            	-2.61424750e-03	1.07793573e+00	-1.30085202e-01	-6.76568483e-02	-6.24283533e-02
146            	-2.84036875e-03	1.08223095e+00	-1.04767934e-01	-5.52243358e-02	-4.95435983e-02
147            	-2.88094489e-03	1.08494904e+00	-7.17239511e-02	-3.87429204e-02	-3.29810306e-02
148            	-2.72887724e-03	1.08653163e+00	-3.32502258e-02	-1.93539902e-02	-1.38962357e-02
149            	-2.38659275e-03	1.08632458e+00	6.99461083e-03	1.11071267e-03	5.88389817e-03
150            	-1.87304922e-03	1.08398859e+00	4.58706959e-02	2.10622987e-02	2.48083972e-02
151            	-1.22430649e-03	1.07900516e+00	8.03157711e-02	3.89335791e-02	4.13821921e-02
152            	-4.92064745e-04	1.07287620e+00	1.08454406e-01	5.37351385e-02	5.47192680e-02
153            	2.65482103e-04	1.06892856e+00	1.29112850e-01	6.48219071e-02	6.42909429e-02
154            	9.92340181e-04	1.06779310e+00	1.40847294e-01	7.14159872e-02	6.94313068e-02
155            	1.63699705e-03	1.06885372e+00	1.42917914e-01	7.30959540e-02	6.98219599e-02
156            	2.16074724e-03	1.07252887e+00	1.35728202e-01	7.00248483e-02	6.57033538e-02
157            	2.53539323e-03	1.07634827e+00	1.19403008e-01	6.22368973e-02	5.71661109e-02
158            	2.74364765e-03	1.08021893e+00	9.49303827e-02	5.02088390e-02	4.47215437e-02
159            	2.77037573e-03	1.08269217e+00	6.31262544e-02	3.43335029e-02	2.87927515e-02
160            	2.60931668e-03	1.08403972e+00	2.62805281e-02	1.57495807e-02	1.05309474e-02
161            	2.26490457e-03	1.08368060e+00	-1.20357753e-02	-3.75298308e-03	-8.28279222e-03
162            	1.75708016e-03	1.08102955e+00	-4.88605385e-02	-2.26731891e-02	-2.61873494e-02
163            	1.12256572e-03	1.07602269e+00	-8.13608597e-02	-3.95578641e-02	-4.18029956e-02
164            	4.10915206e-04	1.07015169e+00	-1.07772119e-01	-5.34751445e-02	-5.42969749e-02
165            	-3.22221372e-04	1.06632681e+00	-1.26962590e-01	-6.38035164e-02	-6.31590737e-02
166            	-1.02263925e-03	1.06501759e+00	-1.37417231e-01	-6.97312550e-02	-6.76859765e-02
167            	-1.64072962e-03	1.06592104e+00	-1.38389734e-01	-7.08355967e-02	-6.75541375e-02
168            	-2.13875899e-03	1.06938626e+00	-1.30318554e-01	-6.72980359e-02	-6.30205179e-02
169            	-2.48883886e-03	1.07301966e+00	-1.13374030e-01	-5.91758539e-02	-5.41981762e-02
170            	-2.67401174e-03	1.07683330e+00	-8.85417688e-02	-4.69448962e-02	-4.15968727e-02
171            	-2.68035999e-03	1.07919628e+00	-5.67249483e-02	-3.10428342e-02	-2.56821142e-02
172            	-2.50264851e-03	1.08061153e+00	-2.03589876e-02	-1.26821423e-02	-7.67684528e-03
173            	-2.14665628e-03	1.08062215e+00	1.72047583e-02	6.45572285e-03	1.07490354e-02
174            	-1.63272698e-03	1.07822877e+00	5.31564269e-02	2.49454865e-02	2.82109404e-02
175            	-9.97772924e-04	1.07361452e+00	8.47610533e-02	4.13827537e-02	4.33782995e-02
