# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0.05           	p              	-3.75998068e+01	(1.30675477e+01 -1.93303998e+01 1.31458292e-17)	5.02749531e+01	(8.50121714e+00 1.93303998e+01 -3.37940727e-17)
0.55           	p              	-1.30453250e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.34595988e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.55           	U              	(2.17693924e-02 -2.36197295e-02 -9.28806897e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.46157124e+00 2.19231076e-01 9.35602420e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.6            	p              	-1.29263278e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.25101602e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.6            	U              	(8.96409034e-03 -9.56056838e-03 -8.98376924e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.45989607e+00 2.23088338e-01 9.34371303e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.65           	p              	-1.28111780e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.17621874e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.65           	U              	(-2.18225570e-03 2.66561354e-03 -8.64852600e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.45800787e+00 2.26820791e-01 9.32421852e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.7            	p              	-1.26995916e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.11684367e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.7            	U              	(-1.16780194e-02 1.31916017e-02 -8.22821624e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.45595795e+00 2.30380955e-01 9.31299317e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.75           	p              	-1.25921944e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.06881150e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.75           	U              	(-1.97656887e-02 2.22373278e-02 -7.83305851e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.45379502e+00 2.33827239e-01 9.27805790e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.8            	p              	-1.24871788e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	6.03046571e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.8            	U              	(-2.66648687e-02 2.99654477e-02 -7.42907487e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.45148702e+00 2.37122461e-01 9.25157901e-19)	(-2.76149616e-01 1.38772196e+00 0.00000000e+00)
0.85           	p              	-1.23836522e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	5.99871758e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.85           	U              	(-3.25883948e-02 3.65573212e-02 -7.04326521e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.33811265e+00 5.71406985e-01 4.63594300e-19)	(-4.93380495e-01 1.07025663e+00 0.00000000e+00)
0.9            	p              	-1.22885312e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.97369746e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.9            	U              	(-3.77090878e-02 4.21792385e-02 -6.68368792e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.33160001e+00 5.71172674e-01 4.60854345e-19)	(-4.93380495e-01 1.07025663e+00 0.00000000e+00)
0.95           	p              	-1.21966935e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.95326136e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.95           	U              	(-4.21706712e-02 4.69882450e-02 -6.35214353e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.57660953e+00 2.32145802e-01 7.96804627e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1              	p              	-1.21055543e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.93695815e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1              	U              	(-4.60890424e-02 5.11264396e-02 -6.04764197e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.57124653e+00 2.35697689e-01 7.88584134e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1.05           	p              	-1.20137547e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.92391813e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.05           	U              	(-4.95315277e-02 5.46905686e-02 -5.75932363e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.56590707e+00 2.39093949e-01 7.80339786e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1.1            	p              	-1.19202540e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.91411510e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.1            	U              	(-5.25417354e-02 5.77464297e-02 -5.48449521e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.56058251e+00 2.42357034e-01 7.71703664e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1.15           	p              	-1.18284823e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.90540822e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.15           	U              	(-5.51626213e-02 6.03527876e-02 -5.22476584e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.55531583e+00 2.45468511e-01 7.64095112e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1.2            	p              	-1.17349529e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.89927198e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.2            	U              	(-5.74305673e-02 6.25554310e-02 -4.97757520e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.55013303e+00 2.48426516e-01 7.56405192e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
1.25           	p              	-1.16408392e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.89492675e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.25           	U              	(-6.46246788e-02 1.13501831e-02 -6.16462570e-19)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.46843289e+00 3.49875821e-01 -1.05246072e-19)	(-2.29922299e-01 1.15562979e+00 7.81988877e-19)
1.3            	p              	-1.15465181e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.89170995e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.3            	U              	(-7.54674903e-02 3.05364877e-02 -5.88538562e-19)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.46166402e+00 3.50934073e-01 -1.03451130e-19)	(-2.29922299e-01 1.15562979e+00 7.81988877e-19)
1.35           	p              	-1.14521837e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88915965e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.35           	U              	(-8.55339400e-02 4.92167217e-02 -5.61922483e-19)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.45517269e+00 3.51907057e-01 -1.01826952e-19)	(-2.29922299e-01 1.15562979e+00 7.81988877e-19)
1.4            	p              	-1.13575583e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88796518e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.4            	U              	(-9.48082141e-02 6.74005280e-02 -5.34134985e-19)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.43911088e+00 4.08522788e-01 -1.62179550e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.45           	p              	-1.12628055e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88692759e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.45           	U              	(-6.42722739e-02 6.84163883e-02 -3.86699470e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.43531829e+00 4.09585679e-01 -1.60947240e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.5            	p              	-1.11669340e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88705887e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.5            	U              	(-6.48874356e-02 6.87335299e-02 -3.67047170e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.43161709e+00 4.10584380e-01 -1.59740849e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.55           	p              	-1.10715982e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88750703e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.55           	U              	(-6.52824070e-02 6.88134530e-02 -3.47768648e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.42800700e+00 4.11525053e-01 -1.58569235e-19)	(-3.40575629e-01 1.20740242e+00 1.02513428e-17)
1.6            	p              	-1.09767389e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88804241e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1.6            	U              	(-6.54628575e-02 6.86663115e-02 -3.28955153e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.39702444e+00 3.71628258e-01 1.79607024e-19)	(-3.62010175e-01 1.28335018e+00 0.00000000e+00)
1.65           	p              	-1.08808469e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.88979498e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.65           	U              	(-6.54554873e-02 6.83245248e-02 -3.11308163e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.39415594e+00 3.72704904e-01 1.79353768e-19)	(-3.62010175e-01 1.28335018e+00 0.00000000e+00)
1.7            	p              	-1.07852711e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.89176223e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.7            	U              	(-7.50150009e-02 -1.08177427e-01 -9.60331681e-19)	(1.48871873e+00 1.76335018e-01 0.00000000e+00)	(1.53493924e+00 1.05060726e-01 2.57439835e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.75           	p              	-1.06907728e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.89363475e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.75           	U              	(-9.56861072e-02 -1.08288740e-01 -9.70544076e-19)	(1.48871873e+00 1.76335018e-01 0.00000000e+00)	(1.53148861e+00 1.08507531e-01 2.54338593e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.8            	p              	-1.05956637e+00	(-4.06193460e-02 -1.03340804e+00 -1.51960920e-17)	5.89517484e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.8            	U              	(-1.15979248e-01 -1.07976158e-01 -9.78473631e-19)	(1.48871873e+00 1.76335018e-01 0.00000000e+00)	(1.52806254e+00 1.11848501e-01 2.51310251e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.85           	p              	-1.05090673e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.89692749e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.85           	U              	(-1.44452471e-01 -1.43188323e-02 -2.50939789e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.52466459e+00 1.15087991e-01 2.48346256e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.9            	p              	-1.04235106e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.89879199e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.9            	U              	(-1.67223577e-01 -2.09586032e-02 -2.51932489e-19)	(1.32348786e+00 -1.56737355e-01 0.00000000e+00)	(1.52129986e+00 1.18230077e-01 2.45445355e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
1.95           	p              	-1.03369691e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90031245e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
1.95           	U              	(-1.83604608e-01 -2.03601304e-02 -2.54780458e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.51796768e+00 1.21274508e-01 2.42642426e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2              	p              	-1.02524637e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90254075e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2              	U              	(-2.02724059e-01 -2.29426260e-02 -2.55945283e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.51466993e+00 1.24228400e-01 2.39878298e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.05           	p              	-1.01680948e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90398915e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.05           	U              	(-2.21479068e-01 -2.52742950e-02 -2.55633361e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.51141094e+00 1.27095241e-01 2.37189141e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.1            	p              	-1.00837607e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90548424e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.1            	U              	(-2.39807670e-01 -2.73410610e-02 -2.54136181e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.50819458e+00 1.29875254e-01 2.34595691e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.15           	p              	-9.99993327e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90674260e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.15           	U              	(-2.57706182e-01 -2.91744941e-02 -2.51917437e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.50502182e+00 1.32571531e-01 2.32070629e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.2            	p              	-9.91711035e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90770289e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.2            	U              	(-2.75167630e-01 -3.07991519e-02 -2.48830542e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.50189405e+00 1.35187154e-01 2.29619975e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.25           	p              	-9.83444299e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90816660e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.25           	U              	(-2.92213853e-01 -3.22886050e-02 -2.44968655e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.49881455e+00 1.37724051e-01 2.27248276e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.3            	p              	-9.75185134e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90888969e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.3            	U              	(-3.08771676e-01 -3.34900880e-02 -2.40350238e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.49578375e+00 1.40185369e-01 2.24942372e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.35           	p              	-9.67091663e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90928502e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.35           	U              	(-3.24827419e-01 -3.45202884e-02 -2.34174773e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.49280050e+00 1.42574026e-01 2.22703636e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
2.4            	p              	-9.59085396e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90906951e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.4            	U              	(-3.40468572e-01 -3.53648278e-02 -2.29057283e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.45297770e+00 2.90998446e-01 6.06925904e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.45           	p              	-9.51140046e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90926034e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
2.45           	U              	(-3.55669264e-01 -3.60362177e-02 -2.22658685e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.44989662e+00 2.92073279e-01 6.02529632e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.5            	p              	-9.43381742e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90836095e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.5            	U              	(-3.70445218e-01 -3.65389762e-02 -2.16406016e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.44688236e+00 2.93112089e-01 5.98285469e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.55           	p              	-9.35518007e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90835319e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.55           	U              	(-3.84678478e-01 -3.69640959e-02 -2.07119005e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.44393522e+00 2.94115411e-01 5.94180353e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.6            	p              	-9.27909658e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90732895e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.6            	U              	(-3.98392133e-01 -3.72634592e-02 -1.98587935e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.44105467e+00 2.95083490e-01 5.90205231e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.65           	p              	-9.20194513e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90699659e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.65           	U              	(-4.11607904e-01 -3.75080637e-02 -1.89290967e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.43823579e+00 2.96020550e-01 5.86273477e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.7            	p              	-9.12692918e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90601018e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.7            	U              	(-4.24351596e-01 -3.76980933e-02 -1.80044311e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.43548068e+00 2.96925994e-01 5.82547698e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.75           	p              	-9.05336130e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90391969e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.75           	U              	(-4.36615262e-01 -3.79650680e-02 -1.69432526e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.43279071e+00 2.97800535e-01 5.78948127e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.8            	p              	-8.97933290e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90287023e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.8            	U              	(-4.48363497e-01 -3.80282921e-02 -1.60372560e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.43016448e+00 2.98645583e-01 5.75436295e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.85           	p              	-8.90850520e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.90104992e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.85           	U              	(-4.59655210e-01 -3.78842498e-02 -1.51500052e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.42759993e+00 2.99461686e-01 5.72014713e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.9            	p              	-8.83723520e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.89878138e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.9            	U              	(-4.70424346e-01 -3.76742710e-02 -1.40432268e-19)	(1.49714178e+00 5.88998071e-02 2.21287469e-17)	(1.42509348e+00 3.00246359e-01 5.68730477e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
2.95           	p              	-8.76641526e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.89740636e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2.95           	U              	(-4.66769341e-01 -4.54289745e-02 -1.68636734e-19)	(1.58478854e+00 6.23548572e-02 -2.70872138e-17)	(1.42264453e+00 3.01005555e-01 5.65549630e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
3              	p              	-8.69884324e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.89457336e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3              	U              	(-4.79529028e-01 -4.57247132e-02 -1.58952893e-19)	(1.58478854e+00 6.23548572e-02 -2.70872138e-17)	(1.42025524e+00 3.01739698e-01 5.62507694e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
3.05           	p              	-8.63138403e-01	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	5.89210412e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3.05           	U              	(-3.90488954e-01 -6.62060837e-02 -2.91694170e-19)	(1.76997362e+00 6.96548838e-02 0.00000000e+00)	(1.41792437e+00 3.02449709e-01 5.59553838e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
3.1            	p              	-8.56403471e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.88946355e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3.1            	U              	(-4.07794219e-01 -6.75482573e-02 -2.88310301e-19)	(1.76997362e+00 6.96548838e-02 0.00000000e+00)	(1.41565411e+00 3.03136377e-01 5.56728358e-19)	(-1.47461948e-01 1.24528550e+00 0.00000000e+00)
3.15           	p              	-8.50318652e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.88633276e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3.15           	U              	(-4.24597303e-01 -6.87970620e-02 -2.84762997e-19)	(1.76997362e+00 6.96548838e-02 0.00000000e+00)	(1.44067062e+00 2.29725143e-01 2.53599677e-19)	(-5.23566379e-02 1.33115645e+00 0.00000000e+00)
3.2            	p              	-8.44166621e-01	(-2.01798769e-01 -1.01443079e+00 0.00000000e+00)	5.88320348e-01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
3.2            	U              	(-4.40882449e-01 -6.99485917e-02 -2.80444499e-19)	(1.76997362e+00 6.96548838e-02 0.00000000e+00)	(1.43880337e+00 2.30828309e-01 2.52348824e-19)	(-5.23566379e-02 1.33115645e+00 0.00000000e+00)
