# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
19.89           	p               	-8.62368404e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.9            	U               	(-1.69491222e-01 -1.63132450e-01 -4.08848427e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27402046e-04 1.94816231e-01 3.19775727e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.9            	p               	-8.62368403e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.91           	U               	(-1.69491223e-01 -1.63132452e-01 -4.08848427e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27401834e-04 1.94816231e-01 3.19775727e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.91           	p               	-8.62368403e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.92           	U               	(-1.69491224e-01 -1.63132453e-01 -4.08848425e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27399648e-04 1.94816233e-01 3.19775722e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.92           	p               	-8.62368403e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.93           	U               	(-1.69491225e-01 -1.63132455e-01 -4.08848427e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27398620e-04 1.94816234e-01 3.19775716e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.93           	p               	-8.62368400e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.94           	U               	(-1.69491226e-01 -1.63132456e-01 -4.08848427e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27398716e-04 1.94816234e-01 3.19775716e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.94           	p               	-8.62368400e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.95           	U               	(-1.69491227e-01 -1.63132458e-01 -4.08848427e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27398801e-04 1.94816234e-01 3.19775716e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.95           	p               	-8.62368400e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.96           	U               	(-1.69491228e-01 -1.63132459e-01 -4.08848435e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27395303e-04 1.94816235e-01 3.19775725e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.96           	p               	-8.62368402e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939346e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.97           	U               	(-1.69491229e-01 -1.63132460e-01 -4.08848443e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27395023e-04 1.94816236e-01 3.19775681e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.97           	p               	-8.62368402e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.98           	U               	(-1.69491230e-01 -1.63132462e-01 -4.08848443e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27395393e-04 1.94816236e-01 3.19775681e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.98           	p               	-8.62368402e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
19.99           	U               	(-1.69491231e-01 -1.63132463e-01 -4.08848437e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27392428e-04 1.94816238e-01 3.19775754e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
19.99           	p               	-8.62368401e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20              	U               	(-1.69491231e-01 -1.63132464e-01 -4.08848437e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27391642e-04 1.94816238e-01 3.19775709e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20              	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.01           	U               	(-1.69491232e-01 -1.63132466e-01 -4.08848437e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27391283e-04 1.94816238e-01 3.19775709e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.01           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.02           	U               	(-1.69491233e-01 -1.63132467e-01 -4.08848444e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27389248e-04 1.94816240e-01 3.19775709e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.02           	p               	-8.62368399e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.03           	U               	(-1.69491234e-01 -1.63132468e-01 -4.08848441e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27389001e-04 1.94816241e-01 3.19775699e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.03           	p               	-8.62368400e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.04           	U               	(-1.69491235e-01 -1.63132470e-01 -4.08848432e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27387515e-04 1.94816242e-01 3.19775714e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.04           	p               	-8.62368401e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.05           	U               	(-1.69491236e-01 -1.63132471e-01 -4.08848432e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27385893e-04 1.94816244e-01 3.19775714e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.05           	p               	-8.62368401e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.06           	U               	(-1.69491237e-01 -1.63132472e-01 -4.08848423e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27386025e-04 1.94816244e-01 3.19775738e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.06           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.07           	U               	(-1.69491238e-01 -1.63132474e-01 -4.08848418e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27384178e-04 1.94816246e-01 3.19775717e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.07           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.08           	U               	(-1.69491239e-01 -1.63132475e-01 -4.08848414e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27383350e-04 1.94816246e-01 3.19775715e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.08           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.09           	U               	(-1.69491240e-01 -1.63132476e-01 -4.08848414e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27383505e-04 1.94816246e-01 3.19775715e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.09           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.1            	U               	(-1.69491240e-01 -1.63132478e-01 -4.08848404e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27381568e-04 1.94816247e-01 3.19775693e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.1            	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.11           	U               	(-1.69491241e-01 -1.63132479e-01 -4.08848400e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27381305e-04 1.94816247e-01 3.19775692e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.11           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.12           	U               	(-1.69491242e-01 -1.63132480e-01 -4.08848400e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27381306e-04 1.94816248e-01 3.19775692e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.12           	p               	-8.62368398e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.13           	U               	(-1.69491243e-01 -1.63132481e-01 -4.08848408e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27379085e-04 1.94816249e-01 3.19775693e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.13           	p               	-8.62368397e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.14           	U               	(-1.69491244e-01 -1.63132483e-01 -4.08848419e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27378628e-04 1.94816250e-01 3.19775711e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.14           	p               	-8.62368397e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.15           	U               	(-1.69491245e-01 -1.63132484e-01 -4.08848420e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27376942e-04 1.94816251e-01 3.19775713e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.15           	p               	-8.62368396e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.16           	U               	(-1.69491246e-01 -1.63132485e-01 -4.08848409e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27376195e-04 1.94816252e-01 3.19775717e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.16           	p               	-8.62368395e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.17           	U               	(-1.69491246e-01 -1.63132486e-01 -4.08848409e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27376200e-04 1.94816252e-01 3.19775717e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.17           	p               	-8.62368395e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.18           	U               	(-1.69491247e-01 -1.63132488e-01 -4.08848390e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27374427e-04 1.94816253e-01 3.19775685e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.18           	p               	-8.62368396e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.19           	U               	(-1.69491248e-01 -1.63132489e-01 -4.08848380e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27373557e-04 1.94816254e-01 3.19775691e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.19           	p               	-8.62368396e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.2            	U               	(-1.69491249e-01 -1.63132490e-01 -4.08848380e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27373526e-04 1.94816255e-01 3.19775691e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.2            	p               	-8.62368396e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.21           	U               	(-1.69491250e-01 -1.63132491e-01 -4.08848380e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27373448e-04 1.94816255e-01 3.19775691e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.21           	p               	-8.62368396e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.22           	U               	(-1.69491251e-01 -1.63132492e-01 -4.08848390e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27370364e-04 1.94816256e-01 3.19775680e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.22           	p               	-8.62368396e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.23           	U               	(-1.69491251e-01 -1.63132493e-01 -4.08848396e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27370076e-04 1.94816256e-01 3.19775674e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.23           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.24           	U               	(-1.69491252e-01 -1.63132495e-01 -4.08848396e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27370297e-04 1.94816256e-01 3.19775674e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.24           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.25           	U               	(-1.69491253e-01 -1.63132496e-01 -4.08848388e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27367731e-04 1.94816258e-01 3.19775706e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.25           	p               	-8.62368392e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.26           	U               	(-1.69491254e-01 -1.63132497e-01 -4.08848381e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27367216e-04 1.94816259e-01 3.19775684e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.26           	p               	-8.62368391e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.27           	U               	(-1.69491255e-01 -1.63132498e-01 -4.08848381e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27367053e-04 1.94816259e-01 3.19775684e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.27           	p               	-8.62368391e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939347e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.28           	U               	(-1.69491255e-01 -1.63132499e-01 -4.08848379e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27365127e-04 1.94816261e-01 3.19775678e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.28           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.29           	U               	(-1.69491256e-01 -1.63132500e-01 -4.08848385e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27364876e-04 1.94816261e-01 3.19775690e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.29           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.3            	U               	(-1.69491257e-01 -1.63132502e-01 -4.08848394e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27363448e-04 1.94816262e-01 3.19775700e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.3            	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.31           	U               	(-1.69491257e-01 -1.63132503e-01 -4.08848394e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27361899e-04 1.94816264e-01 3.19775700e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.31           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.32           	U               	(-1.69491258e-01 -1.63132504e-01 -4.08848390e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27362139e-04 1.94816264e-01 3.19775718e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.32           	p               	-8.62368392e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.33           	U               	(-1.69491259e-01 -1.63132505e-01 -4.08848377e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27360468e-04 1.94816265e-01 3.19775689e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.33           	p               	-8.62368392e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.34           	U               	(-1.69491260e-01 -1.63132506e-01 -4.08848363e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27359764e-04 1.94816266e-01 3.19775698e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.34           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.35           	U               	(-1.69491261e-01 -1.63132507e-01 -4.08848363e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27359968e-04 1.94816265e-01 3.19775698e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.35           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.36           	U               	(-1.69491261e-01 -1.63132508e-01 -4.08848359e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27358094e-04 1.94816266e-01 3.19775679e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.36           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.37           	U               	(-1.69491262e-01 -1.63132509e-01 -4.08848366e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27357920e-04 1.94816266e-01 3.19775688e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.37           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.38           	U               	(-1.69491263e-01 -1.63132510e-01 -4.08848366e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27358006e-04 1.94816266e-01 3.19775688e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.38           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.39           	U               	(-1.69491263e-01 -1.63132511e-01 -4.08848385e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27355984e-04 1.94816268e-01 3.19775681e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.39           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.4            	U               	(-1.69491264e-01 -1.63132512e-01 -4.08848399e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27355703e-04 1.94816268e-01 3.19775700e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.4            	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.41           	U               	(-1.69491265e-01 -1.63132513e-01 -4.08848402e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27354125e-04 1.94816270e-01 3.19775701e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.41           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.42           	U               	(-1.69491266e-01 -1.63132514e-01 -4.08848400e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27353716e-04 1.94816270e-01 3.19775706e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.42           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.43           	U               	(-1.69491266e-01 -1.63132516e-01 -4.08848400e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27353422e-04 1.94816270e-01 3.19775706e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.43           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.44           	U               	(-1.69491267e-01 -1.63132517e-01 -4.08848395e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27352174e-04 1.94816271e-01 3.19775670e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.44           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.45           	U               	(-1.69491268e-01 -1.63132518e-01 -4.08848395e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27350375e-04 1.94816273e-01 3.19775671e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.45           	p               	-8.62368393e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.46           	U               	(-1.69491268e-01 -1.63132519e-01 -4.08848395e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27350642e-04 1.94816273e-01 3.19775702e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.46           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.47           	U               	(-1.69491269e-01 -1.63132520e-01 -4.08848396e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27349304e-04 1.94816274e-01 3.19775687e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.47           	p               	-8.62368395e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.48           	U               	(-1.69491270e-01 -1.63132521e-01 -4.08848399e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27348992e-04 1.94816275e-01 3.19775685e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.48           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.49           	U               	(-1.69491271e-01 -1.63132522e-01 -4.08848399e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27348778e-04 1.94816275e-01 3.19775685e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.49           	p               	-8.62368394e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.5            	U               	(-1.69491271e-01 -1.63132523e-01 -4.08848403e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27347196e-04 1.94816276e-01 3.19775673e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.5            	p               	-8.62368392e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.51           	U               	(-1.69491272e-01 -1.63132524e-01 -4.08848409e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27346788e-04 1.94816276e-01 3.19775705e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.51           	p               	-8.62368389e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.52           	U               	(-1.69491273e-01 -1.63132525e-01 -4.08848409e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27346533e-04 1.94816276e-01 3.19775705e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.52           	p               	-8.62368389e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939348e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.53           	U               	(-1.69491273e-01 -1.63132526e-01 -4.08848411e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27344727e-04 1.94816277e-01 3.19775672e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.53           	p               	-8.62368387e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939349e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
20.54           	U               	(-1.69491274e-01 -1.63132527e-01 -4.08848411e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27344464e-04 1.94816278e-01 3.19775689e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
20.54           	p               	-8.62368386e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939349e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
