# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
3.45           	2.34182843e-02	2.57792412e+00	-3.76951687e-01	-1.65057559e-01	-2.11894128e-01
3.5            	2.27284210e-02	2.57413114e+00	-3.73095307e-01	-1.63819232e-01	-2.09276074e-01
3.55           	2.20479948e-02	2.57043162e+00	-3.69186636e-01	-1.62545323e-01	-2.06641313e-01
3.6            	2.13769517e-02	2.56679671e+00	-3.65282332e-01	-1.61264214e-01	-2.04018118e-01
3.65           	2.07152668e-02	2.56322726e+00	-3.61318247e-01	-1.59943856e-01	-2.01374390e-01
3.7            	2.00628883e-02	2.55972609e+00	-3.57385147e-01	-1.58629685e-01	-1.98755462e-01
3.75           	1.94197924e-02	2.55628118e+00	-3.53422796e-01	-1.57291606e-01	-1.96131191e-01
3.8            	1.87859485e-02	2.55289552e+00	-3.49436983e-01	-1.55932543e-01	-1.93504440e-01
3.85           	1.81613211e-02	2.54956166e+00	-3.45442458e-01	-1.54559908e-01	-1.90882550e-01
3.9            	1.75458794e-02	2.54629149e+00	-3.41434948e-01	-1.53171595e-01	-1.88263353e-01
3.95           	1.69395902e-02	2.54306987e+00	-3.37414315e-01	-1.51767567e-01	-1.85646748e-01
4              	1.63424216e-02	2.53989001e+00	-3.33398464e-01	-1.50356810e-01	-1.83041653e-01
4.05           	1.57543474e-02	2.53676724e+00	-3.29367463e-01	-1.48929384e-01	-1.80438079e-01
4.1            	1.51753356e-02	2.53368530e+00	-3.25323811e-01	-1.47486570e-01	-1.77837241e-01
4.15           	1.46053405e-02	2.53065044e+00	-3.21327730e-01	-1.46058524e-01	-1.75269205e-01
4.2            	1.40443427e-02	2.52767472e+00	-3.17311378e-01	-1.44611347e-01	-1.72700032e-01
4.25           	1.34923108e-02	2.52472288e+00	-3.13279439e-01	-1.43147409e-01	-1.70132031e-01
4.3            	1.29492026e-02	2.52181639e+00	-3.09263555e-01	-1.41682575e-01	-1.67580980e-01
4.35           	1.24149883e-02	2.51896235e+00	-3.05225701e-01	-1.40197862e-01	-1.65027839e-01
4.4            	1.18896222e-02	2.51613553e+00	-3.01212486e-01	-1.38716621e-01	-1.62495865e-01
4.45           	1.13730648e-02	2.51334442e+00	-2.97227269e-01	-1.37240570e-01	-1.59986700e-01
4.5            	1.08652930e-02	2.51059631e+00	-2.93213296e-01	-1.35741355e-01	-1.57471941e-01
4.55           	1.03662553e-02	2.50788060e+00	-2.89232696e-01	-1.34250093e-01	-1.54982603e-01
4.6            	9.87590816e-03	2.50520641e+00	-2.85269333e-01	-1.32758758e-01	-1.52510574e-01
4.65           	9.39421110e-03	2.50256040e+00	-2.81311827e-01	-1.31261702e-01	-1.50050124e-01
4.7            	8.92111981e-03	2.49994116e+00	-2.77375299e-01	-1.29766530e-01	-1.47608769e-01
4.75           	8.45659490e-03	2.49737454e+00	-2.73437099e-01	-1.28261955e-01	-1.45175145e-01
4.8            	8.00058217e-03	2.49484049e+00	-2.69539177e-01	-1.26769006e-01	-1.42770171e-01
4.85           	7.55304488e-03	2.49232148e+00	-2.65624480e-01	-1.25259195e-01	-1.40365285e-01
4.9            	7.11392465e-03	2.48983739e+00	-2.61746591e-01	-1.23759371e-01	-1.37987220e-01
4.95           	6.68317335e-03	2.48738369e+00	-2.57898413e-01	-1.22266033e-01	-1.35632380e-01
5              	6.26074888e-03	2.48495586e+00	-2.54050330e-01	-1.20764416e-01	-1.33285914e-01
5.05           	5.84659438e-03	2.48256081e+00	-2.50228756e-01	-1.19267784e-01	-1.30960972e-01
5.1            	5.44064945e-03	2.48018982e+00	-2.46458700e-01	-1.17788701e-01	-1.28670000e-01
5.15           	5.04287383e-03	2.47783823e+00	-2.42677254e-01	-1.16295753e-01	-1.26381501e-01
5.2            	4.65319870e-03	2.47555117e+00	-2.38948297e-01	-1.14820950e-01	-1.24127347e-01
5.25           	4.27157721e-03	2.47325679e+00	-2.35220406e-01	-1.13338626e-01	-1.21881780e-01
5.3            	3.89794707e-03	2.47100185e+00	-2.31542316e-01	-1.11873211e-01	-1.19669105e-01
5.35           	3.53226137e-03	2.46876605e+00	-2.27851424e-01	-1.10393450e-01	-1.17457973e-01
5.4            	3.17444600e-03	2.46654995e+00	-2.24217155e-01	-1.08934131e-01	-1.15283023e-01
5.45           	2.82444610e-03	2.46436336e+00	-2.20606239e-01	-1.07478673e-01	-1.13127565e-01
5.5            	2.48220431e-03	2.46219119e+00	-2.17014999e-01	-1.06025295e-01	-1.10989704e-01
5.55           	2.14765312e-03	2.46006092e+00	-2.13473425e-01	-1.04589059e-01	-1.08884366e-01
5.6            	1.82073314e-03	2.45795026e+00	-2.09957120e-01	-1.03157827e-01	-1.06799293e-01
5.65           	1.50138433e-03	2.45585728e+00	-2.06453624e-01	-1.01725428e-01	-1.04728196e-01
5.7            	1.18953736e-03	2.45378478e+00	-2.02990245e-01	-1.00305585e-01	-1.02684660e-01
5.75           	8.85126086e-04	2.45173129e+00	-1.99570462e-01	-9.89001052e-02	-1.00670357e-01
5.8            	5.88090909e-04	2.44971071e+00	-1.96165549e-01	-9.74946835e-02	-9.86708654e-02
5.85           	2.98363918e-04	2.44768704e+00	-1.92786952e-01	-9.60951123e-02	-9.66918402e-02
5.9            	1.58694081e-05	2.44572744e+00	-1.89465463e-01	-9.47168620e-02	-9.47486008e-02
5.95           	-2.59455002e-04	2.44375864e+00	-1.86165064e-01	-9.33419872e-02	-9.28230772e-02
6              	-5.27675137e-04	2.44180981e+00	-1.82892818e-01	-9.19740843e-02	-9.09187340e-02
6.05           	-7.88864394e-04	2.43988596e+00	-1.79669253e-01	-9.06234907e-02	-8.90457619e-02
6.1            	-1.04309004e-03	2.43797855e+00	-1.76481868e-01	-8.92840240e-02	-8.71978439e-02
6.15           	-1.29041871e-03	2.43609046e+00	-1.73319894e-01	-8.79503655e-02	-8.53695281e-02
6.2            	-1.53092422e-03	2.43422468e+00	-1.70195265e-01	-8.66285567e-02	-8.35667082e-02
6.25           	-1.76467898e-03	2.43237181e+00	-1.67107272e-01	-8.53183148e-02	-8.17889569e-02
6.3            	-1.99175635e-03	2.43054739e+00	-1.64068642e-01	-8.40260775e-02	-8.00425648e-02
6.35           	-2.21221758e-03	2.42873303e+00	-1.61029181e-01	-8.27268081e-02	-7.83023730e-02
6.4            	-2.42614871e-03	2.42693421e+00	-1.58055838e-01	-8.14540679e-02	-7.66017704e-02
6.45           	-2.63361814e-03	2.42515760e+00	-1.55118256e-01	-8.01927461e-02	-7.49255099e-02
6.5            	-2.83469728e-03	2.42340726e+00	-1.52215705e-01	-7.89425498e-02	-7.32731552e-02
6.55           	-3.02945450e-03	2.42164311e+00	-1.49333062e-01	-7.76959854e-02	-7.16370764e-02
6.6            	-3.21797428e-03	2.41991563e+00	-1.46530127e-01	-7.64830377e-02	-7.00470891e-02
6.65           	-3.40032069e-03	2.41820521e+00	-1.43741306e-01	-7.52709738e-02	-6.84703324e-02
6.7            	-3.57657083e-03	2.41651508e+00	-1.40990677e-01	-7.40719093e-02	-6.69187676e-02
6.75           	-3.74679816e-03	2.41483423e+00	-1.38269456e-01	-7.28815261e-02	-6.53879298e-02
6.8            	-3.91108302e-03	2.41317450e+00	-1.35602377e-01	-7.17122714e-02	-6.38901054e-02
6.85           	-4.06949797e-03	2.41155088e+00	-1.32968531e-01	-7.05537633e-02	-6.24147673e-02
6.9            	-4.22211208e-03	2.40986129e+00	-1.30356435e-01	-6.94003297e-02	-6.09561055e-02
6.95           	-4.36900421e-03	2.40825221e+00	-1.27800648e-01	-6.82693285e-02	-5.95313200e-02
